,Id,Año,Mes,Día,Fecha ,Vehiculo victima,Sexo,Edad victima,Gravedad,Rango_etario
371,LC-2019-0028499,2019,1,14,2019-01-14,sd,Varon,33,SD, Entre 21- 40
372,LC-2019-0028597,2019,1,14,2019-01-14,sd,Varon,27,SD, Entre 21- 40
373,LC-2019-0028635,2019,1,14,2019-01-14,sd,SD,0,SD,Menos de 20
374,LC-2019-0028641,2019,1,14,2019-01-14,sd,Varon,33,SD, Entre 21- 40
375,LC-2019-0028794,2019,1,14,2019-01-14,sd,Varon,30,SD, Entre 21- 40
376,LC-2019-0030752,2019,1,14,2019-01-14,sd,Mujer,60,SD,Entre 61-80
377,LC-2019-0033421,2019,1,14,2019-01-14,sd,Varon,28,SD, Entre 21- 40
378,LC-2019-0028657,2019,1,15,2019-01-15,sd,Mujer,59,SD,Entre 41-60
379,LC-2019-0028657,2019,1,15,2019-01-15,sd,Varon,59,SD,Entre 41-60
380,LC-2019-0028657,2019,1,15,2019-01-15,sd,Varon,32,SD, Entre 21- 40
381,LC-2019-0028702,2019,1,15,2019-01-15,sd,Varon,18,SD,Menos de 20
382,LC-2019-0028702,2019,1,15,2019-01-15,sd,Varon,18,SD,Menos de 20
383,LC-2019-0028731,2019,1,15,2019-01-15,sd,Mujer,32,SD, Entre 21- 40
384,LC-2019-0304750,2019,5,15,2019-05-15,sd,Varon,58,SD,Entre 41-60
385,LC-2019-0028731,2019,1,15,2019-01-15,sd,Mujer,7,SD,Menos de 20
386,LC-2019-0304750,2019,5,15,2019-05-15,sd,Varon,58,SD,Entre 41-60
387,LC-2019-0028796,2019,1,15,2019-01-15,sd,Varon,40,SD,Entre 41-60
388,LC-2019-0029010,2019,1,15,2019-01-15,sd,Varon,40,SD,Entre 41-60
389,LC-2019-0029065,2019,1,15,2019-01-15,sd,Mujer,0,SD,Menos de 20
390,LC-2019-0029065,2019,1,15,2019-01-15,sd,Mujer,0,SD,Menos de 20
391,LC-2019-0193078,2019,3,28,2019-03-28,sd,Mujer,62,SD,Entre 61-80
392,LC-2019-0029336,2019,1,15,2019-01-15,sd,Varon,67,SD,Entre 61-80
393,LC-2019-0029346,2019,1,15,2019-01-15,sd,Varon,44,SD,Entre 41-60
394,LC-2019-0029347,2019,1,15,2019-01-15,sd,Varon,62,SD,Entre 61-80
395,LC-2019-0029367,2019,1,15,2019-01-15,sd,SD,0,SD,Menos de 20
396,LC-2019-0029566,2019,1,15,2019-01-15,sd,Varon,32,SD, Entre 21- 40
397,LC-2019-0030128,2019,1,15,2019-01-15,sd,Mujer,22,SD, Entre 21- 40
398,LC-2019-0030272,2019,1,15,2019-01-15,sd,Mujer,57,SD,Entre 41-60
399,LC-2019-0030300,2019,1,15,2019-01-15,sd,SD,0,SD,Menos de 20
400,LC-2019-0030352,2019,1,15,2019-01-15,sd,Varon,50,SD,Entre 41-60
401,LC-2019-0221536,2019,4,9,2019-04-09,sd,Mujer,0,SD,Menos de 20
402,LC-2019-0030566,2019,1,15,2019-01-15,sd,Varon,63,SD,Entre 61-80
403,LC-2019-0030574,2019,1,15,2019-01-15,sd,Mujer,0,SD,Menos de 20
404,LC-2019-0030658,2019,1,15,2019-01-15,sd,Mujer,33,SD, Entre 21- 40
405,LC-2019-0030786,2019,1,15,2019-01-15,sd,Mujer,29,SD, Entre 21- 40
406,LC-2019-0030792,2019,1,15,2019-01-15,sd,Varon,27,SD, Entre 21- 40
407,LC-2019-0030793,2019,1,15,2019-01-15,sd,Varon,0,SD,Menos de 20
408,LC-2019-0030858,2019,1,15,2019-01-15,sd,SD,0,SD,Menos de 20
409,LC-2019-0028731,2019,1,15,2019-01-15,sd,Mujer,32,SD, Entre 21- 40
410,LC-2019-0035369,2019,1,15,2019-01-15,sd,Varon,40,SD,Entre 41-60
411,LC-2019-0031071,2019,1,16,2019-01-16,sd,Varon,41,SD,Entre 41-60
412,LC-2019-0031424,2019,1,16,2019-01-16,sd,Varon,26,SD, Entre 21- 40
413,LC-2019-0031634,2019,1,16,2019-01-16,sd,Varon,39,SD, Entre 21- 40
414,LC-2019-0031641,2019,1,16,2019-01-16,sd,Varon,0,SD,Menos de 20
415,LC-2019-0032487,2019,1,16,2019-01-16,sd,Mujer,40,SD,Entre 41-60
416,LC-2019-0032487,2019,1,16,2019-01-16,sd,Mujer,40,SD,Entre 41-60
417,LC-2019-0032605,2019,1,16,2019-01-16,sd,Varon,42,SD,Entre 41-60
418,LC-2019-0032607,2019,1,16,2019-01-16,sd,Varon,51,SD,Entre 41-60
419,LC-2019-0032657,2019,1,16,2019-01-16,sd,Varon,27,SD, Entre 21- 40
420,LC-2019-0032657,2019,1,16,2019-01-16,sd,Varon,27,SD, Entre 21- 40
421,LC-2019-0032834,2019,1,16,2019-01-16,sd,Varon,34,SD, Entre 21- 40
422,LC-2019-0032903,2019,1,16,2019-01-16,sd,Varon,26,SD, Entre 21- 40
423,LC-2019-0033174,2019,1,16,2019-01-16,sd,Varon,23,SD, Entre 21- 40
424,LC-2019-0033180,2019,1,16,2019-01-16,sd,Mujer,23,SD, Entre 21- 40
425,LC-2019-0033263,2019,1,16,2019-01-16,sd,Varon,34,SD, Entre 21- 40
426,LC-2019-0033333,2019,1,16,2019-01-16,sd,Varon,35,SD, Entre 21- 40
427,LC-2019-0033368,2019,1,16,2019-01-16,sd,Mujer,0,SD,Menos de 20
428,LC-2019-0033399,2019,1,16,2019-01-16,sd,Mujer,0,SD,Menos de 20
429,LC-2019-0033412,2019,1,16,2019-01-16,sd,Mujer,66,SD,Entre 61-80
430,LC-2019-0033440,2019,1,16,2019-01-16,sd,Mujer,6,SD,Menos de 20
431,LC-2019-0033459,2019,1,16,2019-01-16,sd,Varon,45,SD,Entre 41-60
432,LC-2019-0033489,2019,1,16,2019-01-16,sd,Varon,22,SD, Entre 21- 40
433,LC-2019-0033593,2019,1,16,2019-01-16,sd,Varon,24,SD, Entre 21- 40
434,LC-2019-0037717,2019,1,16,2019-01-16,sd,Mujer,29,SD, Entre 21- 40
435,LC-2019-0043540,2019,1,16,2019-01-16,sd,Mujer,0,SD,Menos de 20
436,LC-2019-0033646,2019,1,17,2019-01-17,sd,Mujer,0,SD,Menos de 20
437,LC-2019-0033821,2019,1,17,2019-01-17,sd,Mujer,0,SD,Menos de 20
438,LC-2019-0033845,2019,1,17,2019-01-17,sd,Varon,28,SD, Entre 21- 40
439,LC-2019-0034229,2019,1,17,2019-01-17,sd,Varon,0,SD,Menos de 20
440,LC-2019-0034229,2019,1,17,2019-01-17,sd,Varon,0,SD,Menos de 20
441,LC-2019-0034229,2019,1,17,2019-01-17,sd,Varon,0,SD,Menos de 20
442,LC-2019-0034229,2019,1,17,2019-01-17,sd,Varon,0,SD,Menos de 20
443,LC-2019-0034601,2019,1,17,2019-01-17,sd,Varon,66,SD,Entre 61-80
444,LC-2019-0034601,2019,1,17,2019-01-17,sd,Varon,66,SD,Entre 61-80
445,LC-2019-0034710,2019,1,17,2019-01-17,sd,Mujer,29,SD, Entre 21- 40
446,LC-2019-0034889,2019,1,17,2019-01-17,sd,Varon,80,SD,Más de 80
447,LC-2019-0034914,2019,1,17,2019-01-17,sd,SD,0,SD,Menos de 20
448,LC-2019-0034915,2019,1,17,2019-01-17,sd,Varon,33,SD, Entre 21- 40
449,LC-2019-0034987,2019,1,17,2019-01-17,sd,Varon,48,SD,Entre 41-60
450,LC-2019-0035011,2019,1,17,2019-01-17,sd,Mujer,24,SD, Entre 21- 40
451,LC-2019-0035269,2019,1,17,2019-01-17,sd,Mujer,43,SD,Entre 41-60
452,LC-2019-0035598,2019,1,17,2019-01-17,sd,Varon,23,SD, Entre 21- 40
453,LC-2019-0035702,2019,1,17,2019-01-17,sd,Varon,45,SD,Entre 41-60
454,LC-2019-0035843,2019,1,17,2019-01-17,sd,Mujer,43,SD,Entre 41-60
