Id,Fecha,Aaa,Mes_x,Día_x,Día semana,Hora,Num víctimas,Participantes,Acusado,Victima,Sexo,Edad victima,Rango etario,Lugar del hecho,Tipo de calle,Calle,Cruce,Dirección normalizada,Comuna,Barrios,Xy (caba),Coordenada x,Coordenada y,Pos x,Pos y
LC-2019-0011431,1900-01-01,2019,1,7,,,,,,,Varon,68,Entre 61-80,,,,,,,,,,,,
LC-2019-0153972,1900-01-01,2019,3,13,,,,,,,Varon,49,Entre 41-60,,,,,,,,,,,,
LC-2019-0011575,1900-01-01,2019,1,7,,,,,,,Varon,21, Entre 21- 40,,,,,,,,,,,,
LC-2019-0153972,1900-01-01,2019,3,13,,,,,,,Varon,0,Menos de 20,,,,,,,,,,,,
LC-2019-0011908,1900-01-01,2019,1,7,,,,,,,Varon,15,Menos de 20,,,,,,,,,,,,
LC-2019-0012172,1900-01-01,2019,1,7,,,,,,,Varon,22, Entre 21- 40,,,,,,,,,,,,
LC-2019-0012293,1900-01-01,2019,1,7,,,,,,,Varon,22, Entre 21- 40,,,,,,,,,,,,
LC-2019-0012508,1900-01-01,2019,1,7,,,,,,,Varon,22, Entre 21- 40,,,,,,,,,,,,
LC-2019-0012578,1900-01-01,2019,1,7,,,,,,,Mujer,74,Entre 61-80,,,,,,,,,,,,
LC-2019-0012580,1900-01-01,2019,1,7,,,,,,,Varon,38, Entre 21- 40,,,,,,,,,,,,
LC-2019-0012638,1900-01-01,2019,1,7,,,,,,,Varon,34, Entre 21- 40,,,,,,,,,,,,
LC-2019-0082237,1900-01-01,2019,2,8,,,,,,,Varon,31, Entre 21- 40,,,,,,,,,,,,
LC-2019-0012823,1900-01-01,2019,1,7,,,,,,,Varon,19,Menos de 20,,,,,,,,,,,,
LC-2019-0013193,1900-01-01,2019,1,7,,,,,,,Varon,27, Entre 21- 40,,,,,,,,,,,,
LC-2019-0013235,1900-01-01,2019,1,7,,,,,,,Varon,45,Entre 41-60,,,,,,,,,,,,
LC-2019-0463737,1900-01-01,2019,7,26,,,,,,,Varon,30, Entre 21- 40,,,,,,,,,,,,
LC-2019-0013370,1900-01-01,2019,1,7,,,,,,,Varon,30, Entre 21- 40,,,,,,,,,,,,
LC-2019-0013412,1900-01-01,2019,1,7,,,,,,,Mujer,9,Menos de 20,,,,,,,,,,,,
LC-2019-0013412,1900-01-01,2019,1,7,,,,,,,Varon,9,Menos de 20,,,,,,,,,,,,
LC-2019-0013440,1900-01-01,2019,1,7,,,,,,,Mujer,49,Entre 41-60,,,,,,,,,,,,
